f0,f1,top_type,opt_action,opt_serves,q_serve_0,q_serve_1,delta,past_dl_0,past_dl_1
0,0,0,0,1,523.086343,443.198111,-79.888231,0,0
0,1,1,1,1,580.218231,479.351589,-100.866642,0,0
0,2,1,1,1,642.954895,518.151096,-124.803798,0,0
0,3,1,1,1,712.624245,559.916001,-152.708244,0,0
0,4,1,1,1,790.147335,605.011827,-185.135507,0,0
0,5,1,1,1,876.573748,653.856612,-222.717136,0,0
0,6,1,1,1,973.099390,706.928131,-266.171260,0,0
0,7,1,1,1,1081.086740,764.772135,-316.314606,0,0
0,8,1,1,1,1202.087907,828.011722,-374.076185,0,0
0,9,1,1,1,1337.870877,897.358003,-440.512874,0,0
0,10,1,1,1,1490.449395,973.622253,-516.827142,0,1
0,11,1,1,1,1562.116989,1050.037431,-512.079558,0,1
0,12,1,1,1,1633.947227,1126.593448,-507.353779,0,1
0,13,1,1,1,1705.932494,1203.280402,-502.652092,0,1
0,14,1,1,1,1778.065037,1280.088561,-497.976476,0,1
0,15,1,1,1,1850.336941,1357.008348,-493.328593,0,1
1,0,0,0,1,550.840971,475.032059,-75.808911,0,0
1,1,0,0,1,608.542637,511.447710,-97.094927,0,0
1,2,1,1,1,672.561162,551.169915,-121.391248,0,0
1,3,1,1,1,742.868313,593.833546,-149.034766,0,0
1,4,1,1,1,821.016763,639.804035,-181.212728,0,0
1,5,1,1,1,908.056027,689.499369,-218.556658,0,0
1,6,1,1,1,1005.181955,743.397321,-261.784635,0,0
1,7,1,1,1,1113.756986,802.043675,-311.713311,0,0
1,8,1,1,1,1235.333200,866.061601,-369.271599,0,0
1,9,1,1,1,1371.678572,936.162318,-435.516254,0,0
1,10,1,1,1,1524.806848,1013.157239,-511.649609,0,1
1,11,1,1,1,1597.011565,1090.279488,-506.732077,0,1
1,12,1,1,1,1669.366316,1167.519172,-501.847144,0,1
1,13,1,1,1,1741.863519,1244.866607,-496.996913,0,1
1,14,1,1,1,1814.495467,1322.312301,-492.183166,0,1
1,15,1,1,1,1887.254302,1399.846941,-487.407360,0,1
2,0,0,0,1,579.965860,508.789127,-71.176732,0,0
2,1,0,0,1,638.241489,546.161326,-92.080163,0,0
2,2,0,0,1,702.804830,586.128058,-116.676772,0,0
2,3,1,1,1,774.376278,629.692967,-144.683312,0,0
2,4,1,1,1,853.143828,676.537247,-176.606581,0,0
2,5,1,1,1,940.788686,727.079042,-213.709644,0,0
2,6,1,1,1,1038.506700,781.796319,-256.710381,0,0
2,7,1,1,1,1147.660319,841.235088,-306.425231,0,0
2,8,1,1,1,1269.801649,906.018776,-363.782873,0,0
2,9,1,1,1,1406.698700,976.858888,-429.839812,0,0
2,10,1,1,1,1560.365264,1054.567146,-505.798117,0,1
2,11,1,1,1,1633.094935,1132.377010,-500.717925,0,1
2,12,1,1,1,1705.961376,1210.278940,-495.682436,0,1
2,13,1,1,1,1778.957080,1288.263622,-490.693458,0,1
2,14,1,1,1,1852.074428,1366.321956,-485.752472,0,1
2,15,1,1,1,1925.305655,1444.445028,-480.860627,0,1
3,0,0,0,1,610.523385,544.646872,-65.876513,0,0
3,1,0,0,1,669.373038,582.978007,-86.395031,0,0
3,2,0,0,1,734.481334,623.871959,-110.609375,0,0
3,3,0,0,1,806.575426,667.648362,-138.927064,0,0
3,4,1,1,1,886.584066,715.357482,-171.226584,0,0
3,5,1,1,1,974.823857,766.733515,-208.090342,0,0
3,6,1,1,1,1073.122410,822.254855,-250.867555,0,0
3,7,1,1,1,1182.842242,882.467968,-300.374274,0,0
3,8,1,1,1,1305.535537,947.996754,-357.538782,0,0
3,9,1,1,1,1442.970391,1019.553211,-423.417180,0,0
3,10,1,1,1,1597.160694,1097.949568,-499.211126,0,1
3,11,1,1,1,1670.400147,1176.419808,-493.980339,0,1
3,12,1,1,1,1743.762525,1254.954924,-488.807601,0,1
3,13,1,1,1,1817.240444,1333.546146,-483.694298,0,1
3,14,1,1,1,1890.826414,1412.184923,-478.641491,0,1
3,15,1,1,1,1964.512805,1490.862899,-473.649907,0,1
4,0,0,0,1,642.577298,582.813741,-59.763557,0,0
4,1,0,0,1,701.996301,622.095411,-79.900890,0,0
4,2,0,0,1,767.644947,663.904096,-103.740852,0,0
4,3,0,0,1,840.256697,708.560085,-131.696612,0,0
4,4,0,0,1,920.759802,756.429973,-164.329829,0,0
4,5,1,1,1,1010.211697,808.617342,-201.594355,0,0
4,6,1,1,1,1109.075465,864.916941,-244.158524,0,0
4,7,1,1,1,1219.345455,925.875946,-293.469509,0,0
4,8,1,1,1,1342.573985,992.118978,-350.455007,0,0
4,9,1,1,1,1480.529292,1064.358757,-416.170535,0,0
4,10,1,1,1,1635.225416,1143.408243,-491.817173,0,1
4,11,1,1,1,1708.956211,1222.502146,-486.454065,0,1
4,12,1,1,1,1782.795614,1301.632187,-481.163427,0,1
4,13,1,1,1,1856.736407,1380.790323,-475.946084,0,1
4,14,1,1,1,1930.771271,1459.968725,-470.802545,0,1
4,15,1,1,1,2004.892754,1539.159757,-465.732997,0,1
5,0,0,0,1,676.191326,623.537208,-52.654118,0,0
5,1,0,0,1,736.169627,663.745849,-72.423778,0,0
5,2,0,0,1,802.348693,706.441833,-95.906860,0,0
5,3,0,0,1,875.467884,751.946471,-123.521413,0,0
5,4,0,0,1,956.455066,800.627375,-155.827690,0,0
5,5,0,0,1,1046.367246,852.904795,-193.462451,0,0
5,6,1,1,1,1146.408409,909.943174,-236.465234,0,0
5,7,1,1,1,1257.208444,971.606339,-285.602105,0,0
5,8,1,1,1,1380.951566,1038.519893,-342.431673,0,0
5,9,1,1,1,1519.406205,1111.397529,-408.008676,0,0
5,10,1,1,1,1674.586600,1191.053166,-483.533434,0,1
5,11,1,1,1,1748.786807,1270.722457,-478.064349,0,1
5,12,1,1,1,1823.080968,1350.398055,-472.682913,0,1
5,13,1,1,1,1897.462076,1430.072829,-467.389248,0,1
5,14,1,1,1,1971.923023,1509.739846,-462.183177,0,1
5,15,1,1,1,2046.456572,1589.392350,-457.064222,0,1
6,0,0,0,1,711.426931,667.114655,-44.312276,0,0
6,1,0,0,1,771.948456,708.205406,-63.743051,0,0
6,2,0,0,1,838.642119,751.740624,-86.901496,0,0
6,3,0,0,1,912.252808,798.043030,-114.209779,0,0
6,4,0,0,1,993.708108,847.481614,-146.226495,0,0
6,5,0,0,1,1084.064709,900.477971,-183.586737,0,0
6,6,0,0,1,1184.526231,957.513520,-227.012711,0,0
6,7,1,1,1,1296.463526,1019.822058,-276.641468,0,0
6,8,1,1,1,1420.696406,1087.346091,-333.350315,0,0
6,9,1,1,1,1559.625252,1160.800531,-398.824721,0,0
6,10,1,1,1,1715.264543,1241.000480,-474.264064,0,1
6,11,1,1,1,1789.908584,1321.182743,-468.725840,0,1
6,12,1,1,1,1864.631763,1401.341093,-463.290669,0,1
6,13,1,1,1,1939.427318,1481.469487,-457.957830,0,1
6,14,1,1,1,2014.288390,1561.562049,-452.726341,0,1
6,15,1,1,1,2089.207991,1641.613047,-447.594944,0,1
7,0,0,0,1,748.339774,713.908052,-34.431722,0,0
7,1,0,0,1,809.381878,755.806119,-53.575758,0,0
7,2,0,0,1,876.567958,800.103958,-76.464000,0,0
7,3,0,0,1,950.648081,847.126065,-103.522016,0,0
7,4,0,0,1,1032.549650,897.243148,-135.306502,0,0
7,5,0,0,1,1123.329128,950.878457,-172.450671,0,0
7,6,0,0,1,1224.189873,1008.515004,-215.674869,0,0
7,7,0,0,1,1336.502420,1070.703784,-265.798636,0,0
7,8,1,1,1,1461.827586,1138.757473,-323.070112,0,0
7,9,1,1,1,1601.201394,1212.708060,-388.493334,0,0
7,10,1,1,1,1757.270313,1293.372021,-463.898292,0,1
7,11,1,1,1,1832.328926,1373.987484,-458.341442,0,1
7,12,1,1,1,1907.451901,1454.549490,-452.902411,0,1
7,13,1,1,1,1982.632754,1535.053221,-447.579533,0,1
7,14,1,1,1,2057.864902,1615.493976,-442.370926,0,1
7,15,1,1,1,2133.141630,1695.867154,-437.274476,0,1
8,0,0,0,1,786.974218,764.363986,-22.610232,0,0
8,1,0,0,1,848.507381,806.952404,-41.554977,0,0
8,2,0,0,1,916.157117,851.896605,-64.260511,0,0
8,3,0,0,1,990.678342,899.523133,-91.155209,0,0
8,4,0,0,1,1072.998351,950.204643,-122.793707,0,0
8,5,0,0,1,1164.173463,1004.366246,-159.807217,0,0
8,6,0,0,1,1265.406847,1062.492730,-202.914117,0,0
8,7,0,0,1,1378.068804,1125.136782,-252.932022,0,0
8,8,0,0,1,1503.719867,1192.928356,-310.791511,0,0
8,9,1,1,1,1644.137086,1267.269665,-376.867420,0,0
8,10,1,1,1,1800.602602,1348.294312,-452.308290,0,1
8,11,1,1,1,1876.043006,1429.241823,-446.801183,0,1
8,12,1,1,1,1951.533266,1510.108579,-441.424687,0,1
8,13,1,1,1,2027.067196,1590.891035,-436.176161,0,1
8,14,1,1,1,2102.638505,1671.585705,-431.052800,0,1
8,15,1,1,1,2178.240771,1752.189149,-426.051622,0,1
9,0,0,0,1,827.354875,819.041277,-8.313598,0,0
9,1,0,0,1,889.342907,862.143426,-27.199480,0,0
9,2,0,0,1,957.421222,907.562431,-49.858791,0,0
9,3,0,0,1,1032.349261,955.626882,-76.722379,0,0
9,4,0,0,1,1115.054266,1006.711372,-108.342894,0,0
9,5,0,0,1,1206.592466,1061.242843,-145.349622,0,0
9,6,0,0,1,1308.166895,1119.707815,-188.459080,0,0
9,7,0,0,1,1421.147680,1182.660614,-238.487067,0,0
9,8,0,0,1,1547.095128,1250.732740,-296.362387,0,0
9,9,0,0,1,1687.786014,1324.643541,-363.142472,0,0
9,10,1,1,1,1845.243507,1405.896682,-439.346825,0,1
9,11,1,1,1,1921.029882,1487.048660,-433.981223,0,1
9,12,1,1,1,1996.852116,1568.097095,-428.755022,0,1
9,13,1,1,1,2072.704326,1649.039617,-423.664709,0,1
9,14,1,1,1,2148.580520,1729.873853,-418.706666,0,1
9,15,1,1,1,2224.474569,1810.597415,-413.877155,0,1
10,0,0,1,0,869.459405,878.649419,9.190014,1,0
10,1,0,0,1,931.874832,922.003921,-9.870911,1,0
10,2,0,0,1,1000.341493,967.648599,-32.692894,1,0
10,3,0,0,1,1075.637258,1015.913570,-59.723688,1,0
10,4,0,0,1,1158.689343,1067.174854,-91.514489,1,0
10,5,0,0,1,1250.553917,1121.860737,-128.693180,1,0
10,6,0,0,1,1352.433913,1180.458997,-171.974916,1,0
10,7,0,0,1,1465.699313,1243.525144,-222.174169,1,0
10,8,0,0,1,1591.910236,1311.691789,-280.218447,1,0
10,9,0,0,1,1732.843222,1385.679323,-347.163900,1,0
10,10,0,0,1,1890.521153,1466.308059,-424.213093,1,1
10,11,1,1,1,1967.247313,1547.504091,-419.743221,1,1
10,12,1,1,1,2043.364357,1628.581565,-414.782792,1,1
10,13,1,1,1,2119.498397,1709.538926,-409.959471,1,1
10,14,1,1,1,2195.643731,1790.374567,-405.269164,1,1
10,15,1,1,1,2271.794516,1871.086821,-400.707694,1,1
11,0,0,0,1,910.692614,910.784721,0.092107,1,0
11,1,0,0,1,973.475725,954.007930,-19.467795,1,0
11,2,0,0,1,1042.288049,999.518606,-42.769443,1,0
11,3,0,0,1,1117.910239,1047.646868,-70.263371,1,0
11,4,0,0,1,1201.269494,1098.768748,-102.500746,1,0
11,5,0,0,1,1293.421926,1153.312539,-140.109387,1,0
11,6,0,0,1,1395.570379,1211.766034,-183.804345,1,0
11,7,0,0,1,1509.084706,1274.684756,-234.399950,1,0
11,8,0,0,1,1635.524855,1342.701335,-292.823520,1,0
11,9,0,0,1,1776.667152,1416.536180,-360.130972,1,0
11,10,0,0,1,1934.534217,1497.009627,-437.524590,1,1
11,11,0,0,1,2011.429022,1577.363466,-434.065556,1,1
11,12,1,1,1,2088.435203,1658.280534,-430.154669,1,1
11,13,1,1,1,2164.814533,1739.074967,-425.739566,1,1
11,14,1,1,1,2241.193278,1819.745188,-421.448090,1,1
11,15,1,1,1,2317.565864,1900.289562,-417.276302,1,1
12,0,0,0,1,951.092584,942.770480,-8.322104,1,0
12,1,0,0,1,1014.202115,985.858811,-28.343303,1,0
12,2,0,0,1,1083.320322,1031.231795,-52.088527,1,0
12,3,0,0,1,1159.230435,1079.219563,-80.010871,1,0
12,4,0,0,1,1242.859634,1130.198160,-112.661474,1,0
12,5,0,0,1,1335.263988,1184.595897,-150.668092,1,0
12,6,0,0,1,1437.646259,1242.900583,-194.745676,1,0
12,7,0,0,1,1551.376185,1305.667764,-245.708421,1,0
12,8,0,0,1,1678.013560,1373.530091,-304.483469,1,0
12,9,0,0,1,1819.334516,1447.207998,-372.126518,1,0
12,10,0,0,1,1977.361435,1527.521848,-449.839587,1,1
12,11,0,0,1,2054.397006,1607.713461,-446.683545,1,1
12,12,0,0,1,2131.524530,1687.781384,-443.743146,1,1
12,13,1,1,1,2208.746732,1768.408441,-440.338291,1,1
12,14,1,1,1,2285.325530,1848.908758,-436.416773,1,1
12,15,1,1,1,2361.887294,1929.280734,-432.606560,1,1
13,0,0,0,1,990.708348,974.613587,-16.094761,1,0
13,1,0,0,1,1054.105808,1017.562552,-36.543256,1,0
13,2,0,0,1,1123.492781,1062.793301,-60.699480,1,0
13,3,0,0,1,1199.654873,1110.635980,-89.018892,1,0
13,4,0,0,1,1283.519255,1161.466651,-122.052604,1,0
13,5,0,0,1,1376.141956,1215.713645,-160.428311,1,0
13,6,0,0,1,1478.725668,1273.864793,-204.860875,1,0
13,7,0,0,1,1592.640026,1336.475664,-256.164362,1,0
13,8,0,0,1,1719.444687,1404.178937,-315.265750,1,0
13,9,0,0,1,1860.915608,1477.695073,-383.220535,1,0
13,10,0,0,1,2019.074955,1557.844467,-461.230488,1,1
13,11,0,0,1,2096.225160,1637.868970,-458.356190,1,1
13,12,0,0,1,2173.449220,1717.767165,-455.682056,1,1
13,13,0,0,1,2250.749508,1797.537599,-453.211908,1,1
13,14,1,1,1,2328.128864,1877.863082,-450.265783,1,1
13,15,1,1,1,2404.849304,1958.057724,-446.791580,1,1
14,0,0,0,1,1029.584624,1006.308879,-23.275744,1,0
14,1,0,0,1,1093.234075,1049.113832,-44.120242,1,0
14,2,0,0,1,1162.855137,1094.197646,-68.657491,1,0
14,3,0,0,1,1239.235617,1141.890485,-97.345132,1,0
14,4,0,0,1,1323.302682,1192.568433,-130.734249,1,0
14,5,0,0,1,1416.112325,1246.659842,-169.452483,1,0
14,6,0,0,1,1518.867180,1304.652571,-214.214608,1,0
14,7,0,0,1,1632.936790,1367.102217,-265.834573,1,0
14,8,0,0,1,1759.880690,1434.641487,-325.239204,1,0
14,9,0,0,1,1901.474680,1507.990876,-393.483804,1,0
14,10,0,0,1,2059.740732,1587.970813,-471.769919,1,1
14,11,0,0,1,2136.981045,1667.823187,-469.157858,1,1
14,12,0,0,1,2214.278341,1747.546618,-466.731723,1,1
14,13,0,0,1,2291.634670,1827.139695,-464.494975,1,1
14,14,0,0,1,2369.052506,1906.600964,-462.451541,1,1
14,15,1,1,1,2446.534758,1986.613214,-459.921544,1,1
15,0,0,0,1,1067.762123,1037.850976,-29.911147,1,0
15,1,0,0,1,1131.629968,1080.507107,-51.122860,1,0
15,2,0,0,1,1201.452689,1125.439123,-76.013566,1,0
15,3,0,0,1,1278.020128,1172.977211,-105.042918,1,0
15,4,0,0,1,1362.259451,1223.497477,-138.761973,1,0
15,5,0,0,1,1455.226625,1277.428304,-177.798321,1,0
15,6,0,0,1,1558.124233,1335.257579,-222.866654,1,0
15,7,0,0,1,1672.321740,1397.540930,-274.780810,1,0
15,8,0,0,1,1799.378571,1464.911100,-334.467471,1,0
15,9,0,0,1,1941.070386,1538.088619,-402.981767,1,0
15,10,0,0,1,2099.418984,1617.893957,-481.525027,1,1
15,11,0,0,1,2176.726354,1697.569042,-479.157312,1,1
15,12,0,0,1,2254.074967,1777.112538,-476.962430,1,1
15,13,0,0,1,2331.466585,1856.523078,-474.943507,1,1
15,14,0,0,1,2408.903344,1935.799257,-473.104087,1,1
15,15,0,0,1,2486.387771,2014.939617,-471.448154,1,1
