f0,f1,top_type,opt_action,opt_serves,q_serve_0,q_serve_1,delta,past_dl_0,past_dl_1
0,0,0,0,1,121.098988,40.362600,-80.736389,0,0
0,1,1,1,1,179.591069,59.737709,-119.853360,0,0
0,2,1,1,1,263.921734,84.115268,-179.806466,0,1
0,3,1,1,1,288.253078,108.495154,-179.757924,0,1
0,4,1,1,1,312.584742,132.877196,-179.707547,0,1
0,5,1,1,1,336.916270,157.261153,-179.655116,0,1
0,6,1,1,1,361.247077,181.646707,-179.600370,0,1
0,7,1,1,1,385.576427,206.033438,-179.542989,0,1
0,8,1,1,1,409.903386,230.420800,-179.482586,0,1
0,9,1,1,1,434.226779,254.808093,-179.418686,0,1
0,10,1,1,1,458.545126,279.194425,-179.350701,0,1
0,11,1,1,1,482.856567,303.578662,-179.277905,0,1
0,12,1,1,1,507.158765,327.959372,-179.199393,0,1
0,13,1,1,1,531.448786,352.334750,-179.114036,0,1
0,14,1,1,1,555.722941,376.702525,-179.020416,0,1
0,15,1,1,1,579.976597,401.059849,-178.916748,0,1
0,16,1,1,1,604.203923,425.403150,-178.800772,0,1
0,17,1,1,1,628.397570,449.727956,-178.669614,0,1
0,18,1,1,1,652.548256,474.028671,-178.519584,0,1
0,19,1,1,1,676.644216,498.298301,-178.345915,0,1
0,20,1,1,1,700.670479,522.528102,-178.142376,0,1
0,21,1,1,1,724.607880,546.707155,-177.900725,0,1
0,22,1,1,1,748.431718,570.821820,-177.609898,0,1
0,23,1,1,1,772.109864,594.855069,-177.254795,0,1
0,24,1,1,1,795.600058,618.785639,-176.814419,0,1
1,0,0,0,1,120.956171,41.244320,-79.711851,0,0
1,1,0,0,1,179.423788,60.592273,-118.831516,0,0
1,2,1,1,1,264.014289,84.987417,-179.026871,0,1
1,3,1,1,1,288.357975,109.385778,-178.972198,0,1
1,4,1,1,1,312.702322,133.787179,-178.915143,0,1
1,5,1,1,1,337.046870,158.191380,-178.855490,0,1
1,6,1,1,1,361.391034,182.598058,-178.792976,0,1
1,7,1,1,1,385.734075,207.006790,-178.727285,0,1
1,8,1,1,1,410.075056,231.417024,-178.658033,0,1
1,9,1,1,1,434.412798,255.828054,-178.584745,0,1
1,10,1,1,1,458.745816,280.238979,-178.506837,0,1
1,11,1,1,1,483.072242,304.648657,-178.423585,0,1
1,12,1,1,1,507.389732,329.055644,-178.334088,0,1
1,13,1,1,1,531.695338,353.458121,-178.237217,0,1
